schema_name,table_name,column_name,data_type
sales,orders,OrderID,int
sales,orders,OrderDate,datetime
sales,orders,CustomerID,int
sales,customers,CustomerID,int
sales,customers,CustomerName,string
sales,customers,CustomerEmail,string
sales,products,ProductID,int
sales,products,ProductName,string
sales,products,Price,float
sales,products,Stock,int
inventory,warehouses,WarehouseID,int
inventory,warehouses,Location,string
inventory,warehouses,Capacity,int
inventory,inventory,InventoryID,int
inventory,inventory,ProductID,int
inventory,inventory,Quantity,int
hr,employees,EmployeeID,int
hr,employees,FirstName,string
hr,employees,LastName,string
hr,employees,DepartmentID,int
hr,departments,DepartmentID,int
hr,departments,DepartmentName,string
finance,invoices,InvoiceID,int
finance,invoices,CustomerID,int
finance,invoices,Amount,float
finance,invoices,InvoiceDate,datetime
